4:36:18 PM 01-09-2019
ORBIT Version: 0.1.98
Username:     Med X Stream
Computer:     DRSHD-0710-041C
Filename:     D:\Projects\Virtek Vision\7169005365 LPS-7\01_PLCE_120Vac60Hz_L1
Spectrum Analyzer:          RSESL6          Datapoints:                500 
<BEGIN LIMIT FILE: C:\Program Files\Orbit\Limits\FCC Verification\10 KHz FCC_CE_ClassA_LISN.txt>
2
A m p l i t u d e  ( d B u V )
10
30
10
23
1
factor file # name
FCC Part 15 Class A - Quasi-Peak
220
150
0,0,255
Blank1
4
0.15
79
0.5
79
0.5
73
30
73
FCC Part 15 Class A - Average
220
220
0,0,127
Blank1
4
0.15
66
0.5
66
0.5
60
30
60
AUTOFACTOR Atten 10dB
AUTOFACTOR Cable 276 PLCE - 3m
AUTOFACTOR LISN 303 - L1
<END LIMIT FILE>
Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L1 Factor,Level
1.07056, 15.8247 , 10 , 0.1 , 0.02 ,25.9447
1.07388, 17.7337 , 10 , 0.1 , 0.02 ,27.8537
1.0772, 17.6634 , 10 , 0.1 , 0.02 ,27.7834
1.08053, 16.9355 , 10 , 0.1 , 0.02 ,27.0555
1.08385, 16.3063 , 10 , 0.1 , 0.02 ,26.4263
1.08717, 16.5015 , 10 , 0.1 , 0.02 ,26.6215
1.0905, 16.2802 , 10 , 0.1 , 0.02 ,26.4002
1.09382, 17.3745 , 10 , 0.1 , 0.02 ,27.4945
1.09714, 17.9482 , 10 , 0.1 , 0.02 ,28.0682
1.10047, 17.4884 , 10 , 0.1 , 0.02 ,27.6084
1.10379, 17.8322 , 10 , 0.1 , 0.02 ,27.9522
1.10711, 17.3 , 10 , 0.1 , 0.02 ,27.42
1.11044, 16.5314 , 10 , 0.1 , 0.02 ,26.6514
1.11376, 17.4885 , 10 , 0.1 , 0.02 ,27.6085
1.11708, 16.7585 , 10 , 0.1 , 0.02 ,26.8785
1.12041, 16.7961 , 10 , 0.1 , 0.02 ,26.9161
1.12373, 16.6041 , 10 , 0.1 , 0.02 ,26.7241
1.12705, 17.1536 , 10 , 0.1 , 0.02 ,27.2736
1.13038, 17.1261 , 10 , 0.1 , 0.02 ,27.2461
1.1337, 17.3455 , 10 , 0.1 , 0.02 ,27.4655
1.13702, 16.096 , 10 , 0.1 , 0.02 ,26.216
1.14035, 17.0736 , 10 , 0.1 , 0.02 ,27.1936
1.14367, 17.6188 , 10 , 0.1 , 0.02 ,27.7388
1.14699, 16.8472 , 10 , 0.1 , 0.02 ,26.9672
1.15032, 16.8754 , 10 , 0.1 , 0.02 ,26.9954
1.15364, 17.4171 , 10 , 0.1 , 0.02 ,27.5371
1.15696, 17.8943 , 10 , 0.1 , 0.02 ,28.0143
1.16029, 18.5477 , 10 , 0.1 , 0.02 ,28.6677
1.16361, 16.7215 , 10 , 0.1 , 0.02 ,26.8415
1.16693, 16.7105 , 10 , 0.1 , 0.02 ,26.8305
1.17026, 16.0315 , 10 , 0.1 , 0.02 ,26.1515
1.17358, 17.362 , 10 , 0.1 , 0.02 ,27.482
1.1769, 17.6418 , 10 , 0.1 , 0.02 ,27.7618
1.18023, 17.8569 , 10 , 0.1 , 0.02 ,27.9769
1.18355, 16.8167 , 10 , 0.1 , 0.02 ,26.9367
1.18687, 17.0838 , 10 , 0.1 , 0.02 ,27.2038
1.1902, 17.254 , 10 , 0.1 , 0.02 ,27.374
1.19352, 18.2002 , 10 , 0.1 , 0.02 ,28.3202
1.19684, 18.1776 , 10 , 0.1 , 0.02 ,28.2976
1.20017, 15.996 , 10 , 0.1 , 0.02 ,26.116
1.20349, 16.7448 , 10 , 0.1 , 0.02 ,26.8648
1.20681, 17.2124 , 10 , 0.1 , 0.02 ,27.3324
1.21014, 17.7374 , 10 , 0.1 , 0.02 ,27.8574
1.21346, 18.4031 , 10 , 0.1 , 0.02 ,28.5231
1.21678, 18.5848 , 10 , 0.1 , 0.02 ,28.7048
1.22011, 17.8043 , 10 , 0.1 , 0.02 ,27.9243
1.22343, 17.4249 , 10 , 0.1 , 0.02 ,27.5449
